,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1615,534,River,7.0,male,Unknown Mix,2013-06-06,2013-08-05,2013-07-20,brown,short,medium,,yes,yes,yes,yes,yes,,both flat and garden
1616,535,Izabell,8.92,female,German Shepherd Dog Mix,2013-06-13,2013-08-10,2013-07-20,sable,short,large,,yes,yes,yes,yes,yes,,both flat and garden
1617,3,,6.17,male,Unknown Mix,2013-12-02,2014-01-14,2013-07-09,yellow-brown,short,small,,,yes,,,,,both flat and garden
1618,2,Domino,14.92,male,German Dog,2013-05-09,2013-05-09,2013-07-11,spotty,short,large,yes,yes,yes,,,,,both flat and garden
1619,5,Bob,6.5,male,Unknown Mix,2013-07-11,2013-07-11,2013-07-13,tricolor,short,small,no,no,yes,yes,yes,yes,yes,both flat and garden
1620,943,Sashalmi Alex,12.25,male,Unknown Mix,2013-06-18,2013-06-18,2013-06-23,gray and white,short,large,yes,,yes,,yes,yes,,both flat and garden
1621,400,Brenda,6.67,female,Unknown Mix,2013-06-21,2013-06-21,2013-06-21,black and white,short,medium,,,,,yes,yes,,
1622,410,Jetta,6.58,female,Unknown Mix,2013-06-22,2013-06-22,2013-06-22,black,short,small,,,,,,,,
1623,396,Prinz,7.67,male,Unknown Mix,2013-06-21,2013-06-21,2013-06-21,black,wirehaired,medium,,,,,yes,yes,,
1624,593,risz,8.75,female,Staffordshire Terrier Mix,2013-06-11,2013-06-11,2013-06-12,brown and white,short,medium,yes,,yes,yes,no,no,yes,both flat and garden
1625,407,Limbo,12.92,male,Puli Mix,2013-06-21,2013-06-21,2013-06-21,gray,wirehaired,medium,,,,yes,yes,yes,yes,
1626,6436,,6.5,male,Unknown Mix,2013-06-19,2013-06-19,2013-06-19,brown,short,medium,,no,,,,,,
1627,1021,Donna Amp,11.42,female,German Shepherd Dog,2013-06-18,2013-06-18,2013-06-28,sable,long,large,,,yes,,,,,
1628,528,Theodora,10.92,female,Unknown Mix,2013-03-21,2013-06-25,2013-06-17,brown,long,medium,,yes,yes,yes,yes,yes,,both flat and garden
1629,412,Malvina,7.75,female,Unknown Mix,2013-06-27,2013-06-27,2013-06-28,gray and black,wirehaired,medium,,,,,yes,yes,,
1630,529,Waldi,6.75,male,Unknown Mix,2013-04-18,2013-07-20,2013-06-21,black and brown,short,medium,,,yes,,yes,yes,,both flat and garden
1631,409,Patsy,7.5,female,Unknown Mix,2013-06-22,2013-06-22,2013-06-22,yellow-brown,short,medium,,,,yes,yes,yes,yes,
1632,401,Tanja,7.92,female,German Shepherd Dog Mix,2013-06-21,2013-06-21,2013-06-21,black,short,medium,,,,yes,yes,yes,yes,
1633,402,Ryen,7.83,male,Unknown Mix,2013-06-21,2013-06-21,2013-06-21,black and brown,short,medium,,,,,yes,yes,,
1634,21,Kiskutya,6.58,female,Unknown Mix,2013-06-16,2013-06-16,2013-06-23,brown,short,small,no,,yes,yes,yes,yes,yes,both flat and garden
1635,406,Barnabas,7.75,male,Dachshund Mix,2013-06-21,2013-06-21,2013-06-21,brown,short,medium,,,,yes,yes,yes,,
1636,602,Puszi,14.42,female,Unknown Mix,2013-06-23,2013-06-23,2013-06-25,black and white,short,large,no,,yes,yes,yes,no,no,garden
1637,960,Bari,8.0,female,Kuvasz Mix,2013-05-31,2013-05-31,2013-06-22,white,medium,large,,,,,,,,
1638,404,Watson,7.42,male,Unknown Mix,2013-06-21,2013-06-21,2013-06-21,black and brown,short,medium,,,,yes,yes,yes,,
1639,6443,Maya,7.25,female,Adoptable From:,2013-06-22,2013-06-22,2013-06-25,apricot,short,medium,no,,yes,,yes,yes,,
1640,789,Johnny,13.0,male,Unknown Mix,2012-08-07,2012-08-07,2013-06-04,sable,short,medium,yes,,yes,yes,no,yes,,garden
1641,21,Panni,11.5,female,Bull Terrier Mix,2013-04-04,2013-04-04,2013-06-03,white,short,medium,no,,yes,yes,yes,yes,,garden
1642,395,Mekkon,6.75,male,German Shepherd Dog Mix,2013-05-01,2013-05-01,2013-05-28,brown,short,medium,,,,yes,yes,yes,,
1643,6419,"""Bjrn""",6.75,male,Labrador Retriever Mix,2013-06-05,2013-06-05,2013-06-07,black,short,medium,no,,yes,yes,,,yes,both flat and garden
1644,15,Barnabs,8.5,male,Unknown Mix,2013-05-20,2013-05-20,2013-05-28,brown,short,medium,no,,yes,yes,yes,yes,,garden
1645,18,Peti,7.0,male,Schnauzer Mix,2013-02-02,2013-02-02,2013-06-03,black,long,large,,,yes,yes,yes,yes,,both flat and garden
1646,1195,Chuby,12.5,female,"Havanese, Puli, Pumi Mix",2013-05-28,2013-05-28,2013-05-29,gray,long,medium,yes,,yes,,yes,yes,no,both flat and garden
1647,392,Kiki,6.67,male,Fox Terrier Mix,2013-05-01,2013-05-01,2013-05-28,tricolor,short,medium,,,,yes,yes,yes,yes,
1648,22,Dezs,7.33,male,Unknown Mix,2013-04-07,2013-04-07,2013-06-03,black and brown,long,small,no,,,,,,,
1649,24,Lucky,7.25,male,Unknown Mix,2012-11-10,2012-11-10,2013-06-03,brown,long,small,no,,yes,yes,,yes,,both flat and garden
1650,17,Brn,9.5,male,Unknown Mix,2013-05-20,2013-05-20,2013-05-28,black,short,large,no,no,yes,,no,no,no,garden
1651,19,Marina,6.83,female,Unknown Mix,2013-04-18,2013-04-18,2013-06-03,black and brown,medium,large,,,yes,yes,yes,yes,,both flat and garden
1652,23,Pong,8.0,male,Unknown Mix,2012-06-13,2012-06-13,2013-06-03,brown,medium,large,yes,no,yes,yes,yes,yes,,garden
